"","id","cond","age","x","y","z","trial","round","agegroup"
"305",2,"Smooth",10,2,3,39,18,4,"9-11"
"306",2,"Smooth",10,2,4,31,19,4,"9-11"
"307",2,"Smooth",10,5,4,25,20,4,"9-11"
"308",2,"Smooth",10,1,0,41,21,4,"9-11"
"309",2,"Smooth",10,1,1,40,22,4,"9-11"
"310",2,"Smooth",10,1,2,38,23,4,"9-11"
"311",2,"Smooth",10,1,3,32,24,4,"9-11"
"312",2,"Smooth",10,6,0,46,25,4,"9-11"
"313",2,"Smooth",10,0,2,23,0,5,"9-11"
"314",2,"Smooth",10,3,0,35,1,5,"9-11"
"315",2,"Smooth",10,4,0,37,2,5,"9-11"
"316",2,"Smooth",10,5,0,41,3,5,"9-11"
"317",2,"Smooth",10,6,0,46,4,5,"9-11"
"318",2,"Smooth",10,7,0,50,5,5,"9-11"
"319",2,"Smooth",10,7,1,47,6,5,"9-11"
"320",2,"Smooth",10,6,1,42,7,5,"9-11"
"321",2,"Smooth",10,5,1,36,8,5,"9-11"
"322",2,"Smooth",10,6,2,37,9,5,"9-11"
"323",2,"Smooth",10,7,2,45,10,5,"9-11"
"324",2,"Smooth",10,7,3,43,11,5,"9-11"
"325",2,"Smooth",10,7,4,42,12,5,"9-11"
"326",2,"Smooth",10,7,5,38,13,5,"9-11"
"327",2,"Smooth",10,7,6,37,14,5,"9-11"
"328",2,"Smooth",10,7,7,35,15,5,"9-11"
"329",2,"Smooth",10,6,3,33,16,5,"9-11"
"330",2,"Smooth",10,6,4,32,17,5,"9-11"
"331",2,"Smooth",10,2,0,31,18,5,"9-11"
"332",2,"Smooth",10,4,6,10,19,5,"9-11"
"333",2,"Smooth",10,3,2,25,20,5,"9-11"
"334",2,"Smooth",10,4,1,30,21,5,"9-11"
"335",2,"Smooth",10,1,0,28,22,5,"9-11"
"336",2,"Smooth",10,6,5,31,23,5,"9-11"
"337",2,"Smooth",10,6,6,26,24,5,"9-11"
"338",2,"Smooth",10,6,7,24,25,5,"9-11"
"339",2,"Smooth",10,6,2,42,0,6,"9-11"
"340",2,"Smooth",10,6,1,48,1,6,"9-11"
"341",2,"Smooth",10,6,0,49,2,6,"9-11"
"342",2,"Smooth",10,5,0,46,3,6,"9-11"
"343",2,"Smooth",10,7,0,49,4,6,"9-11"
"344",2,"Smooth",10,7,1,47,5,6,"9-11"
"345",2,"Smooth",10,5,1,43,6,6,"9-11"
"346",2,"Smooth",10,7,2,44,7,6,"9-11"
"347",2,"Smooth",10,5,2,41,8,6,"9-11"
"348",2,"Smooth",10,7,3,37,9,6,"9-11"
"349",2,"Smooth",10,6,3,38,10,6,"9-11"
"350",2,"Smooth",10,5,3,37,11,6,"9-11"
"351",2,"Smooth",10,5,4,34,12,6,"9-11"
"352",2,"Smooth",10,6,4,33,13,6,"9-11"
"353",2,"Smooth",10,4,4,32,14,6,"9-11"
"354",2,"Smooth",10,4,3,33,15,6,"9-11"
"355",2,"Smooth",10,4,2,34,16,6,"9-11"
"356",2,"Smooth",10,4,1,37,17,6,"9-11"
"357",2,"Smooth",10,4,0,42,18,6,"9-11"
"358",2,"Smooth",10,7,4,32,19,6,"9-11"
"359",2,"Smooth",10,3,0,31,20,6,"9-11"
"360",2,"Smooth",10,3,1,28,21,6,"9-11"
"361",2,"Smooth",10,3,2,30,22,6,"9-11"
"362",2,"Smooth",10,3,3,27,23,6,"9-11"
"363",2,"Smooth",10,3,4,28,24,6,"9-11"
"364",2,"Smooth",10,2,0,22,25,6,"9-11"
"365",2,"Smooth",10,2,3,2,0,7,"9-11"
"366",2,"Smooth",10,6,3,14,1,7,"9-11"
"367",2,"Smooth",10,6,0,47,2,7,"9-11"
"368",2,"Smooth",10,5,0,42,3,7,"9-11"
"369",2,"Smooth",10,4,0,38,4,7,"9-11"
"370",2,"Smooth",10,3,0,31,5,7,"9-11"
"371",2,"Smooth",10,7,0,50,6,7,"9-11"
"372",2,"Smooth",10,7,1,37,7,7,"9-11"
"373",2,"Smooth",10,6,1,35,8,7,"9-11"
"374",2,"Smooth",10,5,1,28,9,7,"9-11"
"375",2,"Smooth",10,4,1,22,10,7,"9-11"
"376",2,"Smooth",10,3,1,15,11,7,"9-11"
"377",2,"Smooth",10,4,5,5,12,7,"9-11"
"378",2,"Smooth",10,2,0,25,13,7,"9-11"
"379",2,"Smooth",10,1,0,23,14,7,"9-11"
"380",2,"Smooth",10,0,0,28,15,7,"9-11"
"381",2,"Smooth",10,0,5,23,16,7,"9-11"
"382",2,"Smooth",10,1,5,15,17,7,"9-11"
"383",2,"Smooth",10,0,2,10,18,7,"9-11"
"384",2,"Smooth",10,7,6,21,19,7,"9-11"
"385",2,"Smooth",10,7,7,27,20,7,"9-11"
"386",2,"Smooth",10,6,7,21,21,7,"9-11"
"387",2,"Smooth",10,5,7,18,22,7,"9-11"
"388",2,"Smooth",10,4,7,17,23,7,"9-11"
"389",2,"Smooth",10,7,2,26,24,7,"9-11"
"390",2,"Smooth",10,7,3,17,25,7,"9-11"
"391",2,"Smooth",10,6,7,23,0,8,"9-11"
"392",2,"Smooth",10,4,3,21,1,8,"9-11"
"393",2,"Smooth",10,7,0,2,2,8,"9-11"
"394",2,"Smooth",10,0,6,13,3,8,"9-11"
"395",2,"Smooth",10,3,5,26,4,8,"9-11"
"396",2,"Smooth",10,3,4,28,5,8,"9-11"
"397",2,"Smooth",10,3,3,25,6,8,"9-11"
"398",2,"Smooth",10,3,2,24,7,8,"9-11"
"399",2,"Smooth",10,3,1,23,8,8,"9-11"
"400",2,"Smooth",10,3,0,15,9,8,"9-11"
"401",2,"Smooth",10,3,6,22,10,8,"9-11"
"402",2,"Smooth",10,3,7,23,11,8,"9-11"
"403",2,"Smooth",10,4,4,21,12,8,"9-11"
"404",2,"Smooth",10,4,5,24,13,8,"9-11"
"405",2,"Smooth",10,2,4,30,14,8,"9-11"
"406",2,"Smooth",10,2,5,27,15,8,"9-11"
"407",2,"Smooth",10,1,4,33,16,8,"9-11"
"408",2,"Smooth",10,1,5,27,17,8,"9-11"
"409",2,"Smooth",10,0,4,36,18,8,"9-11"
"410",2,"Smooth",10,0,5,24,19,8,"9-11"
"411",2,"Smooth",10,0,4,37,20,8,"9-11"
"412",2,"Smooth",10,0,3,44,21,8,"9-11"
"413",2,"Smooth",10,1,3,39,22,8,"9-11"
"414",2,"Smooth",10,2,3,34,23,8,"9-11"
"415",2,"Smooth",10,2,2,36,24,8,"9-11"
"416",2,"Smooth",10,1,2,44,25,8,"9-11"
"417",3,"Rough",10,5,0,24,0,1,"9-11"
"418",3,"Rough",10,3,3,2,1,1,"9-11"
"419",3,"Rough",10,0,1,3,2,1,"9-11"
"420",3,"Rough",10,0,7,42,3,1,"9-11"
"421",3,"Rough",10,6,6,27,4,1,"9-11"
"422",3,"Rough",10,3,5,44,5,1,"9-11"
"423",3,"Rough",10,1,6,25,6,1,"9-11"
"424",3,"Rough",10,2,5,27,7,1,"9-11"
"425",3,"Rough",10,6,2,36,8,1,"9-11"
"426",3,"Rough",10,0,4,32,9,1,"9-11"
"427",3,"Rough",10,4,7,40,10,1,"9-11"
"428",3,"Rough",10,5,4,11,11,1,"9-11"
"429",3,"Rough",10,2,7,22,12,1,"9-11"
"430",3,"Rough",10,2,2,4,13,1,"9-11"
"431",3,"Rough",10,4,6,45,14,1,"9-11"
"432",3,"Rough",10,1,3,13,15,1,"9-11"
"433",3,"Rough",10,5,3,30,16,1,"9-11"
"434",3,"Rough",10,6,7,34,17,1,"9-11"
"435",3,"Rough",10,7,4,22,18,1,"9-11"
"436",3,"Rough",10,0,6,34,19,1,"9-11"
"437",3,"Rough",10,4,1,35,20,1,"9-11"
"438",3,"Rough",10,2,1,19,21,1,"9-11"
"439",3,"Rough",10,0,3,23,22,1,"9-11"
"440",3,"Rough",10,7,1,31,23,1,"9-11"
"441",3,"Rough",10,3,2,8,24,1,"9-11"
"442",3,"Rough",10,4,5,48,25,1,"9-11"
"443",3,"Rough",10,5,7,30,0,2,"9-11"
"444",3,"Rough",10,3,3,21,1,2,"9-11"
"445",3,"Rough",10,5,4,13,2,2,"9-11"
"446",3,"Rough",10,1,6,8,3,2,"9-11"
"447",3,"Rough",10,5,1,25,4,2,"9-11"
"448",3,"Rough",10,6,6,21,5,2,"9-11"
"449",3,"Rough",10,5,7,32,6,2,"9-11"
"450",3,"Rough",10,0,5,12,7,2,"9-11"
"451",3,"Rough",10,1,1,24,8,2,"9-11"
"452",3,"Rough",10,7,3,40,9,2,"9-11"
"453",3,"Rough",10,7,3,38,10,2,"9-11"
