,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
beta_trial__122,1.8434547519657114,0.5341451247716712,0.004918555521661327,0.8112075811369714,2.8744365140033254,4000.0,0.9997697538778606
beta_trial__123,0.8848054463709707,0.7189704691098135,0.007493422473952759,-0.5456968538313516,2.2315960831743102,4000.0,0.999760513337524
beta_trial__124,-0.0706018394344438,0.7082988514692704,0.007149018782380558,-1.4373202109614451,1.299262205724219,4000.0,0.9997511183968224
beta_trial__125,0.30776430558690254,0.7190888167901377,0.006781575764424595,-1.049375505456554,1.7416670015358835,4000.0,0.999865905926962
beta_trial__126,6.624597015517331,0.6034363844919903,0.006155011891913335,5.419547059734297,7.80165667705246,4000.0,0.9997505366796915
beta_trial__127,0.1494497752348311,0.7603283477447407,0.0080716970145645,-1.3856738557756014,1.6298418934271364,4000.0,0.9997700516743226
beta_trial__128,3.3037565743145536,0.7976655421361575,0.007367145266621219,1.7115190849849582,4.791889630287918,4000.0,0.9998931290181435
beta_trial__129,1.2212916631976751,0.7352010202388252,0.0076982986099210825,-0.15355377683983934,2.6670240978458337,4000.0,1.0000178896452385
beta_trial__130,0.7411686599781822,0.5746613328181059,0.005678857846188205,-0.47693285069124025,1.8438487788895288,4000.0,0.999758619056962
beta_trial__131,-0.2325248261252015,0.7928368739484872,0.007858245591960635,-1.8154720877583523,1.2714473078108548,4000.0,0.9999502170329525
beta_trial__132,0.9207180551258658,0.6817173898083266,0.006958009432720964,-0.3374373935220223,2.293414675145508,4000.0,0.9997664428369929
beta_trial__133,1.2507727873596866,0.6988035303847261,0.007085058469804756,-0.15723558120469053,2.602997990164729,4000.0,0.9997860200614778
beta_trial__134,0.8822534234672537,0.6965000555748644,0.006671901662817536,-0.44315671678477775,2.2585052141284265,4000.0,0.9998030320907193
beta_trial__135,1.425598294536584,0.593124373124484,0.0058382506844432145,0.2611754917203951,2.541156614716712,4000.0,0.9997548839400929
beta_trial__136,7.173009618159924,0.756592089412156,0.007884269794188214,5.760488381179703,8.758228480242737,4000.0,0.9997525227454122
beta_trial__137,5.02617341515062,0.6613066963711931,0.006481729606487524,3.7447528571886126,6.272430827510123,4000.0,0.9999625377300048
beta_trial__138,5.832098247778162,0.6046424529969754,0.005958434656105472,4.637393230756626,7.043597534083635,4000.0,0.9997525771298887
